State/UT,Year,Total Population,Rural Population,Urban Population,Total Lit,Lit_rate,Area in km2,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total crime against sc,Total crime against women,Total crimes against ST,Total crime against children,Total crimes,Total crime rate
WEST BENGAL,2006,85761967,61788643,23973324,54367341,72.48,88752,1425,672,401,1731,0,1731,1355,1199,156,177,1263,426,601,12532,2714,9818,2385,519,1947,135,111,6299,445,1837,63,7414,1,3039,23274,68052,13,1086,,432,153253,178.6957615
A& N ISLANDS,2007,370809,249652,121158,277823,83.7,8249,15,19,1,3,0,3,12,9,3,5,0,9,90,112,8,104,17,7,23,1,11,99,1,21,2,18,0,4,337,807,0,20779,,10,22530,6075.904307
ANDHRA PRADESH,2007,81232469,59243945,21988524,46307785,64.03,275045,2665,1885,135,1070,0,1070,2097,1564,533,170,6,614,7677,24391,6183,18208,1998,869,8103,224,1176,46122,613,4406,3316,11335,0,12629,43586,175087,3383,91,,1499,382705,471.1231909
ARUNACHAL PRADESH,2007,1268754,997099,271655,653517,60.3,83743,68,29,2,48,0,48,68,44,24,16,0,75,240,513,116,397,16,41,33,10,22,375,0,72,1,20,0,82,555,2286,0,23224,,4,28429,2240.702295
ASSAM,2007,29363774,25612562,3751212,17112928,68,78438,1374,451,109,1437,0,1437,1971,1471,500,299,12,496,2603,7754,1982,5772,2601,653,895,115,380,5175,100,789,10,3000,0,2875,12183,45282,126,164,,167,102183,347.9900097
BIHAR,2007,95482186,85470377,10011809,43946563,55.2,94163,3034,3113,257,1555,0,1555,2530,1260,1270,686,78,1787,3259,11795,2392,9403,7962,1326,2358,79,865,16288,1172,853,12,1635,56,3789,44931,109420,2786,9644,675,675,248500,260.2579711
CHANDIGARH,2007,993066,101625,891440,740561,84.3,114,19,26,8,22,0,22,52,46,6,2,0,37,191,1740,853,887,79,38,170,2,9,78,1,32,11,112,0,15,999,3643,0,7511,,53,16664,1678.035498
CHHATTISGARH,2007,23657639,18955456,4702183,13697213,66.85,135191,1097,747,26,982,0,982,244,181,63,115,13,427,3632,5381,1814,3567,881,150,467,64,253,6801,100,1549,111,824,0,2476,19505,45845,511,146,,1024,99978,422.6034559
D & N HAVELI,2007,293908,226436,67472,175500,68.39,491,10,2,0,7,0,7,9,6,3,1,0,3,28,87,19,68,39,17,10,1,10,25,0,0,0,3,0,12,161,425,0,3976,,11,4940,1680.798073
DAMAN & DIU,2007,209028,129496,79532,156084,83.43,112,10,2,0,7,0,7,9,6,3,1,0,3,28,87,19,68,39,17,10,1,10,25,0,0,0,3,0,12,161,425,0,19,,3,975,466.4446868
DELHI,2007,15592144,1062113,14530030,11508566,84.38,16579,495,530,94,598,0,598,1688,1167,521,34,229,557,2055,17037,8874,8163,87,451,2336,41,31,1736,138,868,167,1787,0,252,24854,56065,24,9,,2019,133505,856.2324719
GOA,2007,1413701,710783,702918,1093517,84.48,3702,33,23,7,20,0,20,12,7,5,7,0,22,292,494,207,287,70,36,55,10,24,150,2,20,7,14,0,247,934,2479,0,4218,,70,9772,691.2352754
GUJARAT,2007,56498584,35460191,21038393,36587115,80.15,196024,1166,494,21,316,0,316,1312,1089,223,245,10,1095,4870,18164,8022,10142,1668,1139,1116,286,330,10989,42,822,120,5827,0,4831,68332,123195,1040,140,,1110,268472,475.1835904
HARYANA,2007,23669674,16790399,6879275,14796864,73.79,44212,911,592,72,488,0,488,801,554,247,139,266,502,4231,11047,6499,4548,1173,726,1232,33,142,5031,269,417,409,2412,0,1545,19159,51597,252,7966,,325,124073,524.1855042
HIMACHAL PRADESH,2007,6545065,5899054,646012,4640490,75.88,55673,127,57,9,159,0,159,171,150,21,5,0,23,877,1092,264,828,649,132,212,11,141,1318,8,322,33,342,0,597,7937,14222,129,5216,,151,35362,540.2849322
JAMMU & KASHMIR,2007,11586836,8703110,2883725,6163254,70.2,222236,318,669,23,288,0,288,758,707,51,18,0,111,1460,2086,514,1572,1209,121,489,31,186,374,9,986,353,176,0,243,11535,21443,2,945,,26,46991,405.5550627
JHARKHAND,2007,30558074,23689103,6868971,15707722,61.35,79714,1617,1076,92,855,0,855,762,534,228,524,40,771,1495,7091,1784,5307,2565,448,814,19,160,3783,303,342,15,801,0,1019,13897,38489,538,2613,,74,88911,290.9574733
KARNATAKA,2007,57818647,38249698,19568949,36562378,66.24,191791,1538,1251,55,436,1,435,680,390,290,178,242,1313,5449,14351,5887,8464,5783,400,3600,124,262,18963,251,1828,28,2507,0,514,60853,120606,1844,2606,,266,261395,452.0946331
KERALA,2007,32769156,24223836,8545320,27075770,92.97,38863,367,402,92,512,0,512,255,177,78,121,157,869,4100,5609,2113,3496,7358,394,4215,54,398,18975,27,2624,262,3999,0,59,57681,108530,477,6618,,487,231018,704.9861156
LAKSHADWEEP,2007,62917,34926,27992,49405,91.14,32,0,2,0,1,0,1,0,0,0,0,0,0,2,20,2,18,1,0,0,0,0,0,0,2,0,2,0,0,26,56,0,7703,,0,7836,12454.50355
MADHYA PRADESH,2007,45973748,49895539,17802209,38347727,79.2,308245,2244,2423,155,3010,0,3010,922,701,221,143,109,1975,11230,22396,8915,13481,2648,531,1661,38,909,36643,742,6772,780,3294,0,5754,98007,202386,4106,1,,4290,439497,955.973831
MAHARASHTRA,2007,67811298,61150397,45024837,74518951,80.09,307713,2693,1615,113,1451,0,1451,1312,967,345,716,405,2770,15607,47681,13895,33786,7993,1715,6235,270,1267,29622,436,3306,1039,7356,0,11946,50159,195707,1166,15716,,2707,461447,680.4869006
MANIPUR,2007,2499769,1766073,739635,1669299,74.63,22327,240,377,2,20,0,20,150,83,67,3,146,11,70,454,150,304,70,19,93,4,63,377,0,70,0,15,0,1,1074,3259,0,14726,,49,21917,876.7610127
MEGHALAYA,2007,2705933,2178074,527859,1534153,69.18,22429,114,49,8,82,0,82,52,22,30,55,1,56,203,500,91,409,33,17,164,12,36,124,2,45,1,19,0,68,438,2079,0,194,,71,5057,186.8856324
MIZORAM,2007,1010038,509596,500442,773483,90.32,21081,43,21,4,83,0,83,4,0,4,0,0,5,457,808,64,744,1,20,66,16,38,85,0,66,0,2,0,34,330,2083,0,236,,64,5361,530.7721096
NAGALAND,2007,1984376,1637407,346969,1258390,72.78,1483,111,50,8,13,0,13,17,6,11,7,0,75,118,360,194,166,15,13,34,8,5,52,0,8,1,0,0,43,242,1180,5,28,109,7,2899,146.091265
ODISHA,2007,39890279,33875666,6014613,23980379,69.14,155707,1210,1105,22,939,0,939,801,660,141,247,42,1273,3073,6830,1733,5097,1983,319,1263,30,411,7478,461,2775,241,728,0,3771,19870,54872,1355,46,394,201,120310,301.6023027
PUDUCHERRY,2007,1136416,378801,757616,852932,83.92,479,34,42,2,9,0,9,20,14,6,1,2,8,86,787,498,289,145,6,45,1,18,904,2,89,32,17,0,267,2537,5054,25,6958,0,23,17930,1577.767296
PUNJAB,2007,26366141,17428064,8938077,17127070,73.25,50362,760,893,170,519,0,519,760,545,215,37,92,138,2616,5173,2084,3089,1,329,3581,68,96,5663,133,427,48,971,0,2801,10517,35793,177,117,0,527,78859,299.0919301
RAJASTHAN,2007,63775482,48824787,14950696,34045973,63.83,342239,1303,1772,64,1238,0,1238,2177,1694,483,71,81,778,5164,19345,8258,11087,1626,825,11919,56,675,19720,439,2477,28,8170,0,7096,63846,148870,571146,2580,1110,1252,896588,1405.850606
SIKKIM,2007,580953,517540,63414,360625,75.12,7096,9,14,3,24,0,24,9,9,0,0,0,6,83,118,11,107,15,7,34,3,1,95,0,13,0,7,0,34,192,667,10,14309,13,31,15848,2727.931519
TAMIL NADU,2007,68245646,38114270,30131376,47312322,77.48,130058,1633,2078,28,523,0,523,1270,1097,173,88,33,495,3717,13217,2901,10316,2375,261,2510,74,653,16967,208,1540,875,1976,0,11485,110748,172754,1743,48,17,441,362767,531.5606508
TRIPURA,2007,3482300,2890919,592581,2491709,77.2,10486,138,58,2,157,0,157,113,81,32,14,2,64,193,411,55,356,142,42,85,10,23,546,36,244,4,545,0,203,1241,4273,8,6267,6,63,15571,447.1470005
UTTAR PRADESH,2007,186228055,147396669,38831386,98926247,62.6,240928,5000,4424,1616,1648,0,1648,4478,3363,1115,437,82,2169,5057,22816,10859,11957,4495,3639,8399,337,268,10694,2076,2522,2882,7650,0,7655,51914,150258,6144,1415,4,2248,339269,182.1793177
UTTARAKHAND,2007,9465791,7049719,2416072,6170885,75.55,53483,268,228,50,117,0,117,253,227,26,46,6,173,548,1593,565,1028,459,163,697,39,37,886,70,146,63,463,0,608,2686,9599,71,23188,1,101,44522,470.3463239
WEST BENGAL,2007,86879120,62596582,24282539,55801529,73.27,88752,1652,877,394,2106,0,2106,1800,1590,210,146,1150,427,399,13747,2421,11326,3727,672,2406,127,121,6909,451,2281,99,9900,5,3803,27903,81102,4,1148,5,361,181375,208.7670778
A& N ISLANDS,2008,373252,251268,121984,281937,84.1,8249,8,11,2,12,0,12,17,13,4,0,0,14,78,128,11,117,16,12,19,1,15,107,2,24,3,26,0,4,383,882,0,23196,3,47,25167,6742.629644
ANDHRA PRADESH,2008,82069546,59884424,22185122,47370029,64.6,275045,2690,1942,165,1257,0,1257,1970,1396,574,110,11,623,8332,25362,7297,18065,1930,990,8393,379,1021,48167,556,4730,3551,10306,0,12861,43929,179275,3998,82,750,1321,393290,479.215518
ARUNACHAL PRADESH,2008,1297218,1018267,278951,681639,61.3,83743,72,37,2,42,0,42,79,47,32,14,0,79,245,445,60,385,18,43,28,1,10,479,0,72,1,13,0,104,590,2374,0,24757,63,24,30158,2324.821271
ASSAM,2008,29815149,26011941,3803208,17629190,68.8,78438,1426,417,71,1438,0,1438,2239,1789,450,312,74,568,3147,8012,2101,5911,2600,680,996,91,443,6107,103,1272,2,3478,0,2259,17598,53333,104,190,130,183,118962,398.9985091
BIHAR,2008,97562799,87329322,10233477,46086060,56.7,94163,3139,2954,386,1302,0,1302,3047,1789,1258,686,60,1592,3414,13206,2675,10531,8099,1352,2741,69,772,16644,1210,999,21,1992,22,4592,54370,122669,3617,11493,766,766,279535,286.51802
CHANDIGARH,2008,1008471,103209,905261,756780,84.7,114,17,28,6,20,0,20,50,42,8,1,4,23,257,1991,1094,897,85,37,213,0,2,73,3,19,2,49,0,11,1040,3931,2,7450,0,66,17441,1729.44983
CHHATTISGARH,2008,24128278,19340022,4788256,14117890,67.39,135191,1169,736,18,978,0,978,273,216,57,124,17,500,4112,6079,2122,3957,1144,169,562,71,302,8565,106,1621,125,897,0,2800,21074,51442,384,138,424,1167,112327,465.5408894
D & N HAVELI,2008,306144,235838,70307,187432,70.37,491,9,2,0,6,0,6,17,11,6,1,0,0,49,54,18,36,24,10,24,1,6,26,0,4,0,4,0,10,154,401,1,4157,10,17,5064,1654.12355
DAMAN & DIU,2008,217499,134269,83230,164164,84.34,112,9,2,0,6,0,6,17,11,6,1,0,0,49,54,18,36,24,10,24,1,6,26,0,4,0,4,0,10,154,401,0,29,0,4,912,419.3122727
DELHI,2008,15882417,1081678,14800739,11815866,84.84,16579,554,389,66,466,0,466,1567,1136,431,24,134,541,1926,18867,11020,7847,71,355,1493,41,41,1936,129,611,130,1387,0,726,17896,49350,34,8,0,1854,121496,764.9717294
GOA,2008,1424707,716399,708308,1111510,84.9,3702,49,25,11,30,0,30,36,28,8,3,0,23,302,601,238,363,102,47,105,22,27,185,2,32,12,12,0,230,886,2742,4,4475,1,80,10711,751.8037042
GUJARAT,2008,57469845,36080095,21389750,37713676,82.15,196024,1106,487,35,374,0,374,1323,1119,204,256,14,1322,5053,20715,9947,10768,1809,1167,1167,190,363,10897,27,828,122,6094,0,4934,65525,123808,229,124,223,1074,271678,472.731395
HARYANA,2008,24090526,17083922,7006604,15247395,74.82,44212,921,616,92,631,0,631,854,644,210,120,257,555,4249,12709,7674,5035,1184,763,1150,40,139,4504,302,435,605,2435,0,1323,21460,55344,110,8095,0,269,133356,553.5620102
HIMACHAL PRADESH,2008,6622926,5968510,654417,4740302,75.78,55673,129,59,5,157,0,157,151,137,14,6,0,20,885,1152,332,820,627,137,248,11,127,1258,3,295,41,343,0,485,7837,13976,10,5494,0,205,35121,530.294314
JAMMU & KASHMIR,2008,11827358,8882452,2944906,6389249,73,222236,237,570,31,219,0,219,704,656,48,3,0,67,1347,2198,689,1509,1782,87,392,23,230,273,21,935,296,162,0,293,10734,20604,0,1027,0,10,45366,383.5683337
JHARKHAND,2008,31160115,24145272,7014843,16362809,62.76,79714,1697,1061,112,791,0,791,792,499,293,416,50,761,1375,7269,2165,5104,2576,269,900,24,164,2826,266,271,23,851,39,1310,14843,38686,598,2605,231,71,89729,287.9610682
KARNATAKA,2008,58646661,38809809,19836852,37583614,66.27,191791,1698,1475,81,446,0,446,758,405,353,270,248,1615,6258,17820,8960,8860,6013,424,3669,118,265,19159,259,1954,44,2638,1,572,61755,127540,2392,2664,400,388,279948,477.3468689
KERALA,2008,32923786,24332067,8591719,27340783,93.34,38863,362,434,95,568,0,568,253,166,87,91,267,816,3882,5818,1981,3837,8057,435,3659,46,389,19178,31,2745,258,4138,0,37,59061,110620,519,7488,106,549,236541,718.4501807
LAKSHADWEEP,2008,63295,35133,28163,50192,91.91,32,1,0,0,2,0,2,1,1,0,0,0,0,3,8,1,7,12,0,0,0,2,12,0,0,0,1,0,0,53,95,0,9110,0,0,9311,14710.48266
MADHYA PRADESH,2008,52629702,50814649,18108053,39473587,82.13,308245,2322,2282,204,2937,0,2937,929,736,193,160,124,2234,11072,24583,10533,14050,2768,570,1368,47,898,36344,805,6445,758,3185,0,6008,100513,206556,2965,0,1071,4259,449856,854.7568823
MAHARASHTRA,2008,78951716,62045856,45678813,76277786,80.65,307713,2795,1837,111,1558,0,1558,1379,998,381,811,274,3031,16004,52860,16900,35960,9388,1880,7296,405,1288,29742,390,3619,1091,7829,0,12472,50183,206243,1192,16382,268,2709,488834,619.1556368
MANIPUR,2008,2555266,1795282,766913,1729093,75.34,22327,187,498,4,38,0,38,176,87,89,1,212,7,76,446,223,223,48,24,161,3,41,301,1,57,0,28,0,2,1038,3349,0,15391,1,89,22839,893.8012716
MEGHALAYA,2008,2770452,2230301,540150,1596866,70.35,22429,126,55,6,88,0,88,56,25,31,63,0,65,168,669,137,532,8,32,104,10,28,204,2,54,4,32,0,64,480,2318,0,190,0,62,5701,205.778696
MIZORAM,2008,1030282,519934,510348,792156,90.58,21081,35,10,6,77,0,77,9,1,8,4,0,6,338,747,27,720,1,34,57,15,18,118,0,78,0,5,0,53,378,1989,0,258,0,22,5091,494.1365568
NAGALAND,2008,1983432,1635766,347666,1279401,74.09,1483,143,47,13,19,0,19,44,7,37,6,0,87,127,345,182,163,4,16,31,4,14,46,0,15,1,4,0,44,192,1202,0,46,0,3,2861,144.244925
ODISHA,2008,40404549,34307040,6097509,24670933,70.21,155707,1250,1415,84,1113,0,1113,908,762,146,305,67,1345,3100,7419,1975,5444,2721,342,1244,26,869,7013,401,2782,282,1618,0,3535,18916,56755,1836,43,508,141,125478,310.5541408
PUDUCHERRY,2008,1163428,387647,775782,879026,84.38,479,35,35,3,8,0,8,17,9,8,10,3,10,90,688,443,245,165,13,53,2,9,873,2,65,21,12,0,207,2668,4989,29,7161,0,26,17907,1539.158418
PUNJAB,2008,26700665,17649994,9050671,17522087,73.87,50362,769,956,146,517,0,517,718,514,204,40,122,167,2621,5563,2182,3381,1,236,3192,78,75,5597,128,388,49,984,0,2845,10122,35314,101,93,0,389,78009,292.1612627
RAJASTHAN,2008,64986865,49746782,15240083,35103300,64.42,342239,1297,1649,54,1355,0,1355,2358,1863,495,64,77,829,4736,20411,9857,10554,1390,737,12097,51,615,21117,439,2520,19,8113,0,7322,63924,151174,581100,2563,1038,1223,912396,1403.969864
SIKKIM,2008,587637,523633,64004,381707,76.6,7096,9,7,3,20,0,20,4,4,0,1,0,7,81,127,9,118,17,6,46,0,23,100,0,19,0,5,0,40,215,730,17,17145,12,24,18809,3200.785519
TAMIL NADU,2008,69218974,38646368,30572606,48443618,78.17,130058,1759,2327,28,573,0,573,1375,1160,215,100,66,662,3849,15019,3722,11297,2811,231,2349,599,610,20529,207,1705,974,1648,0,12328,107084,176833,1618,40,14,666,372971,538.827692
TRIPURA,2008,3529483,2930497,600386,2569978,77.89,10486,155,53,2,204,0,204,146,110,36,13,3,95,218,499,43,456,197,42,92,23,47,924,16,346,4,735,0,195,1327,5336,4,5126,14,163,16828,476.7837102
UTTAR PRADESH,2008,189566410,150019724,39546686,102794074,63.72,240928,4564,4233,1493,1871,0,1871,5428,4439,989,313,76,2097,5418,25946,12064,13882,4381,4296,9327,420,228,11683,2237,2955,3374,8312,0,10102,60242,168996,8009,1515,9,4078,384848,203.0148696
UTTARAKHAND,2008,9628531,7172959,2455572,6348402,76.22,53483,223,217,40,87,0,87,247,222,25,16,2,144,423,1622,726,896,509,171,463,31,15,937,73,120,306,340,0,590,2280,8856,42,22941,0,38,42689,443.3594283
WEST BENGAL,2008,87996274,63404521,24591753,57235717,74.07,88752,1811,1732,488,2263,0,2263,2332,1907,425,184,1055,613,462,17334,2593,14741,5425,876,2938,148,150,9033,451,2396,94,13663,5,3789,38177,105419,19,1181,17,513,234497,266.4851469
A& N ISLANDS,2009,375695,252884,122811,286052,84.5,8249,15,4,4,18,0,18,16,14,2,0,0,11,86,134,10,124,11,7,20,2,12,89,1,30,7,21,0,2,451,941,0,26014,2,41,28107,7481.334593
ANDHRA PRADESH,2009,82906623,60524904,22381719,48432273,65.2,275045,2449,1859,134,1188,0,1188,1958,1526,432,102,27,544,7772,24692,7804,16888,2261,904,8528,461,1039,44488,546,5147,3520,11297,0,13438,48087,180441,4504,48,830,1719,395821,477.4298912
ARUNACHAL PRADESH,2009,1325682,1039436,286247,709761,62.3,83743,59,33,5,59,0,59,62,28,34,20,0,55,201,381,109,272,52,38,29,8,28,526,0,58,6,13,0,110,619,2362,0,25536,21,33,30816,2324.539369
ASSAM,2009,30266523,26411320,3855203,18145452,69.6,78438,1323,417,35,1631,0,1631,2718,2092,626,251,21,680,3149,7644,1713,5931,1808,802,1098,84,476,6547,170,1342,10,4398,1,2735,17973,55313,0,171,9,,122799,405.7254941
BIHAR,2009,99643411,89188267,10455145,48225558,58.2,94163,3152,3068,243,929,0,929,3222,1986,1236,654,64,1619,3566,15221,3674,11547,8554,1186,2676,69,685,14746,1295,726,12,2532,31,4516,54165,122931,3836,11462,1016,1016,282564,283.575198
CHANDIGARH,2009,1023876,104794,919082,772999,84.1,114,22,18,8,29,0,29,40,36,4,4,3,27,241,1731,1117,614,66,38,193,4,4,63,2,26,2,51,0,7,976,3555,0,8815,0,71,17796,1738.101098
CHHATTISGARH,2009,24598917,19724589,4874329,14538567,67.94,135191,1083,732,19,976,0,976,286,229,57,134,16,554,3975,5792,2181,3611,957,166,682,68,335,9543,128,1598,152,893,0,2735,20546,51370,284,154,376,1321,111929,455.0159668
D & N HAVELI,2009,318380,245239,73141,199365,72.41,491,10,5,1,4,0,4,12,9,3,9,0,2,43,63,21,42,53,17,20,1,5,23,0,2,1,3,0,17,151,442,1,4186,16,11,5177,1626.04435
DAMAN & DIU,2009,225970,139042,86927,172245,85.26,112,10,5,1,4,0,4,12,9,3,9,0,2,43,63,21,42,53,17,20,1,5,23,0,2,1,3,0,17,151,442,2,17,0,2,984,435.456034
DELHI,2009,16172689,1101242,15071447,12123166,85.3,16579,552,369,84,469,0,469,2536,1655,881,36,69,515,1733,21731,13224,8507,57,333,2000,47,34,1938,141,552,118,1283,0,846,14808,50251,33,5,0,2839,128115,792.1688224
GOA,2009,1435712,722014,713698,1129502,85.32,3702,53,24,11,47,0,47,33,22,11,4,0,30,294,858,336,522,50,52,132,27,24,191,3,37,10,21,0,220,884,3005,3,5193,0,92,12236,852.2600633
GUJARAT,2009,58441106,36699999,21741107,38840236,84.2,196024,1020,468,30,433,0,433,1348,1162,186,246,11,1420,4488,19669,11130,8539,1539,1256,1014,238,240,9456,24,727,114,5506,0,5178,60758,115183,243,106,195,968,253328,433.4757114
HARYANA,2009,24511378,17377446,7133932,15697926,75.86,44212,948,690,78,603,0,603,916,659,257,153,297,679,4077,12917,8449,4468,1166,827,1406,35,153,3977,281,451,605,2617,0,1549,21804,56229,97,8741,0,353,136085,555.1911443
HIMACHAL PRADESH,2009,6700787,6037965,662822,4840113,75.68,55673,125,73,13,183,0,183,150,122,28,4,0,21,784,823,327,496,591,117,264,2,124,1230,1,318,37,284,0,616,7555,13315,13,5425,1,221,33446,499.1354001
JAMMU & KASHMIR,2009,12067881,9061793,3006088,6615244,75.92,222236,237,547,23,237,0,237,873,825,48,1,0,69,1566,2631,876,1755,1472,132,475,37,217,331,12,972,371,196,0,517,11059,21975,1,995,0,18,48705,403.5919811
JHARKHAND,2009,31762156,24601442,7160715,17017895,64.2,79714,1636,1274,104,719,0,719,827,517,310,412,53,780,1392,7716,2990,4726,2312,473,910,15,203,4132,295,276,83,710,6,1678,11430,37436,631,3141,182,60,88148,277.525241
KARNATAKA,2009,59474676,39369920,20104755,38604850,66.3,191791,1702,1607,79,509,0,509,892,408,484,273,346,1825,6629,20576,11093,9483,6269,461,5079,171,293,20105,264,2186,64,3185,2,417,61108,134042,2174,2715,272,308,295530,496.9005632
KERALA,2009,33078416,24440299,8638118,27605797,93.71,38863,343,408,100,568,0,568,256,173,83,112,266,830,3554,5564,2029,3535,8086,354,3394,66,503,18274,20,2540,395,4007,0,41,68688,118369,467,8031,102,587,252313,762.7723165
LAKSHADWEEP,2009,63673,35340,28333,50979,92.69,32,0,1,0,1,0,1,0,0,0,3,0,0,1,10,5,5,44,0,0,0,2,14,0,0,0,0,0,0,58,134,0,11074,0,0,11353,17830.16349
MADHYA PRADESH,2009,59285657,51733760,18413897,40599448,85.16,308245,2386,2212,117,2998,1,2997,1036,841,195,117,156,2270,10661,23260,10705,12555,2409,575,1830,27,741,37132,858,6307,728,3983,1,6591,101367,207762,3040,0,1135,4646,451639,761.801459
MAHARASHTRA,2009,90092135,62941314,46332789,78036621,81.21,307713,2653,1880,98,1483,0,1483,1286,926,360,780,287,3314,15841,50930,18133,32797,8030,1895,7976,478,1105,28326,341,3196,1099,7681,0,12459,48460,199598,1096,16509,224,2894,473618,525.7040473
MANIPUR,2009,2610762,1824491,794191,1788888,76.06,22327,131,478,2,31,0,31,159,97,62,1,188,3,68,394,283,111,48,20,96,1,81,224,0,39,2,25,0,0,861,2852,0,15293,0,72,21653,829.374719
MEGHALAYA,2009,2834970,2282529,552441,1659579,71.54,22429,128,39,12,112,0,112,56,26,30,64,1,67,147,545,180,365,18,26,113,9,54,207,0,72,1,24,1,72,680,2448,0,247,0,83,5939,209.490753
MIZORAM,2009,1050526,530272,520254,810829,90.84,21081,31,14,8,83,1,82,9,0,9,2,0,4,381,761,77,684,1,30,61,9,24,120,0,61,1,4,0,36,407,2047,0,267,0,14,5228,497.6554602
NAGALAND,2009,1982489,1634126,348363,1300412,75.42,1483,46,35,7,22,0,22,52,10,42,8,0,92,82,347,69,278,4,6,33,3,4,38,0,11,0,0,0,34,235,1059,0,43,0,0,2582,130.2403191
ODISHA,2009,40918818,34738414,6180404,25361487,71.2,155707,1250,1231,48,1023,0,1023,930,799,131,380,63,1488,2937,7136,2521,4615,1718,258,1137,34,413,6816,384,2697,210,2047,1,2979,20560,55740,1709,39,552,194,123063,300.7491565
PUDUCHERRY,2009,1190440,396492,793948,905121,84.84,479,37,25,5,1,0,1,18,13,5,7,5,9,71,711,502,209,141,7,47,5,11,901,0,53,16,10,0,233,2278,4591,29,7534,0,21,17496,1469.708679
PUNJAB,2009,27035189,17871923,9163265,17917104,74.49,50362,853,1014,129,511,0,511,692,513,179,38,96,171,2507,5624,2713,2911,8,234,3098,63,101,5498,126,319,33,1061,0,3289,10080,35545,108,93,0,729,78847,291.645825
RAJASTHAN,2009,66198247,50668778,15529469,36160628,65.01,342239,1395,1673,80,1519,0,1519,2870,2310,560,53,57,886,5294,22144,12156,9988,1145,842,15037,59,556,21652,436,2485,24,10371,0,7898,70089,166565,639183,2793,1183,1407,1004229,1517.002406
SIKKIM,2009,594321,529726,64595,402789,78.11,7096,19,7,3,18,0,18,6,6,0,0,0,4,93,62,8,54,39,4,12,2,9,91,0,10,0,6,0,59,225,669,16,18017,14,40,19511,3282.906039
TAMIL NADU,2009,70192302,39178467,31013836,49574915,78.87,130058,1776,2325,26,596,0,596,1372,1133,239,97,34,1144,4221,15712,4973,10739,2397,215,2557,352,580,18147,194,1242,501,1460,0,13528,106215,174691,1312,39,22,634,369069,525.7969741
TRIPURA,2009,3576666,2970075,608192,2648246,78.59,10486,133,59,2,190,0,190,121,92,29,7,0,77,231,415,39,376,178,52,110,20,62,1047,29,384,5,815,0,225,1324,5486,7,5928,27,163,17823,498.3132336
UTTAR PRADESH,2009,192904766,152642779,40261987,106661901,64.86,240928,4534,4141,1439,1759,0,1759,6083,5078,1005,365,59,2285,5260,29226,16109,13117,4263,3917,8845,339,254,10934,2232,2782,2524,8566,0,12159,60918,172884,7522,1676,4,3085,395123,204.8280134
UTTARAKHAND,2009,9791271,7296200,2495072,6525919,76.9,53483,195,185,51,111,0,111,275,247,28,35,7,179,363,1601,735,866,466,156,544,43,17,1198,94,119,249,361,0,685,1868,8802,58,20030,0,33,39712,405.5857508
